"id";"subject";"isbn";"author";"title";"volume";"publisher";"price"
53;"FILOSOFIA";9788835029700;"REALE GIOVANNI ANTISERI DARIO";"STORIA DEL PENSIERO FILOSOFICO E SCIENTIFICO 1 A . FILOSOFIA ANTICO-PAGANA 1 B . PATRISTICA E SCOLASTICA";"primo";"LA SCUOLA EDITRICE";31.9
54;"STORIA";9788835029809;"GENTILE GIANNI RONGA LUIGI ROSSI ANNA";"MILLENNIUM DAL MILLE ALLA META' DEL SEICENTO+ATLANTE GEOSTORICO";"primo";"LA SCUOLA EDITRICE";32.9
55;"LATINO";9788837912284;"MANZONI GIANENRICO";"OPULENTA PATRUM VERSIONI LATINE PER IL SECONDO BIENNIO E IL QUINTO ANNO";"unico";"CAPPELLI EDITORE";16.3
56;"EDUCAZIONE FISICA";9788839301529;"FIORINI GIANLUIGI CORETTI STEFANO BOCCHI SILVIA";"CORPO LIBERO - EDIZIONE AGGIORNATA MANUALE DI EDUCAZIONE FISICA PER LA SCUOLA SECONDARIA";"unico";"MARIETTI SCUOLA";20.8
57;"RELIGIONE CATTOLICA";9788839302229;"MARINONI GIANMARIO CASSINOTTI";"DOMANDA DELL'UOMO (LA) - VOLUME UNICO - EDIZIONE AZZURRA CORSO DI RELIGIONE CATTOLICA PER LA SECONDARIA DI 2ﾰGRADO";"unico";"MARIETTI SCUOLA";19.4
58;"FILOSOFIA";9788839510112;"ABBAGNANO NICOLA FORNERO GIOVANNI";"NUOVO PROTAGONISTI E TESTI DELLA FILOSOFIA (IL) - 1A+1B DALLE ORIGINI ALLA SCOLASTICA";"primo";"PARAVIA";31.9
59;"LATINO";9788839532299;"GARBARINO PASQUARIELLO";"COLORES 1 DALLE ORIGINI ALL'ETA' DI CESARE";"primo";"PARAVIA";26.2
60;"INGLESE";9788841643976;"MARINONI ROSA SALMOIRAGHI LUCIANA";"WITNESS TO THE TIMES - VOLUME A";"unico";"PRINCIPATO";13.7
61;"FILOSOFIA";9788842109891;"CAMBIANO GIUSEPPE MORI MASSIMO";"TEMPI DEL PENSIERO. VOLUME 1 - ETA' ANTICA E MEDIEVALE STORIA E ANTOLOGIA DELLA FILOSOFIA";"primo";"LATERZA SCOLASTICA";23.5
62;"FILOSOFIA";9788842435334;"CIOFFI";"DISCORSO FILOSOFICO 1";"primo";"B.MONDADORI";29.3
63;"STORIA";9788842435556;"FOSSATI LUPPI ZANETTE";"CITTA' DELLA STORIA 1 + ATLANTE";"primo";"B.MONDADORI";25.7
64;"LATINO";9788842441533;"MENGHI GORI";"NUOVO VIVAE VOCES 1 AUTORI LATINI PER IL LICEO CLASSICO";"primo";"B.MONDADORI";24.8
65;"ITALIANO";9788842456599;"TORNOTTI GIANLUIGI";"MENTE INNAMORATA (LA) DIVINA COMMEDIA ANTOLOGIA";"unico";"B.MONDADORI";32.5
66;"LATINO";9788843407583;"SIGNORELLI C. LEALI D.";"DIVINA PUELLA L'AMORE E LA DONNA IN CATULLO";"unico";"CARLO SIGNORELLI EDITORE";7.1
67;"GRECO";9788843411399;"AUTORI VARI";"NASCITA DELL'OCCIDENTE (LA) LE GUERRE PERSIANE RACCONTATE DA ERODOTO";"unico";"CARLO SIGNORELLI EDITORE";8.6
68;"GRECO";9788843412112;"OMERO";"CUORE OSTINATO (IL) FIGURE FEMMINILI E IDENTITA DELL'UOMO NELL'ODISSEA";"unico";"CARLO SIGNORELLI EDITORE";9.85
69;"LATINO";9788849412499;"GRIFFA LODOVICO";"NUOVO LATINA LECTIO (IL) VERSIONI LATINE PER IL TRIENNIO";"unico";"PETRINI";24.65
70;"LATINO";9788849417746;"GRIFFA LODOVICO URZI' G GALLI D";"LATINO IN LABORATORIO VERSIONI LATINE PER IL TRIENNIO";"unico";"PETRINI";18
71;"INGLESE";9788853008510;"MAULE DAVID DU VIVIER MADELEINE";"PASS FCE - UPDATED EDITION";"unico";"CIDEB";20.65
72;"INGLESE";9788853008527;"MAULE DAVID DU VIVIER MADELEINE";"PASS FCE - UPDATED EDITION WORKBOOK WITH FCE PRACTICE TEST +CD";"unico";"CIDEB";12.3
73;"MATEMATICA";9788853804402;"DODERO NELLA FRAGNI I. MANFREDI ROBERTO";"LINEAMENTI.MATH AZZURRO ﾕ EDIZIONE RIFORMA MODULO BﾕEQUAZIONI E DISEQUAZIONI DI GRADO SUPERIORE AL PRIMO";"unico";"GHISETTI & CORVI EDITORI";14.35
74;"MATEMATICA";9788853818492;"DODERO NELLA BARONCINI PAOLO MANFREDI ROBERTO";"LINEAMENTI.MATH AZZURRO GEOMETRIA NEL PIANO EUCLIDEO + CD-ROM";"unico";"GHISETTI & CORVI EDITORI";10.7
75;"FILOSOFIA";9788858307403;"RUFFALDI ENZO NICOLA UBALDO";"PASSEGGIATE FILOSOFICHE SIMPOSIO, ETICA NICOMACHEA, LETTERA A MENECEO, CONFESSIONI";"unico";"LOESCHER EDITORE";9.9
76;"ITALIANO LETTERATURA";9788860172341;"LUPERINI ROMANO CATALDI PIETRO MARCHIANI LIDIA";"NUOVO MANUALE DI LETTERATURA (IL) + LA SCRITTURA MEDIOEVO E RINASCIMENTO (DALLE ORIGINI AL 1545)";"primo";"PALUMBO";34.5
77;"MATEMATICA";9788861810754;"RAINOTTI MIRELLA";"MATHCLUB BLU ALGEBRA 2 + CD-ROM";"secondo";"CEDAM";22.95
78;"ITALIANO";9788876080814;"MATERAZZI MELFINO";"ANALIZZARE E COMPORRE LA PRIMA PROVA SCRITTA DI ITALIANO";"unico";"LOESCHER EDITORE";14.8
79;"GRECO";9788880207122;"PINTACUDA MARIO VENUTO MICHELA";"POETI E PROSATORI GRECI ANTOLOGIA OMERICA";"unico";"PALUMBO";17.3
80;"GRECO";9788880207139;"PINTACUDA MARIO VENUTO MICHELA";"POETI E PROSATORI GRECI ANTOLOGIA DEGLI  STORICI";"unico";"PALUMBO";15.2
81;"GRECO";9788880208402;"CASERTANO MARIO NUZZO GIANFRANCO";"STORIA E TESTI DELLA LETTERATURA GRECA N.ED. CON PERCORSI TEMATICI E INTERTESTUALI";"primo";"PALUMBO";30.8
82;"ITALIANO LETTERATURA";9788880208433;"LUPERINI ROMANO CATALDI PIETRO MARCHIANI LIDIA";"NUOVO SCRITTURA E L'INTERPRETAZIONE (IL)
- ROSSA N.E. DALLE ORIGINI AL 1380";"primo";"PALUMBO";21.2
83;"ITALIANO LETTERATURA";9788880208433;"LUPERINI ROMANO CATALDI PIETRO MARCHIANI LIDIA";"NUOVO SCRITTURA E L'INTERPRETAZIONE (IL)
- ROSSA N.E. DALLE ORIGINI AL 1380";"primo";"PALUMBO";21.2
84;"ITALIANO LETTERATURA";9788880208440;"LUPERINI ROMANO CATALDI PIETRO MARCHIANI LIDIA";"NUOVO SCRITTURA E L'INTERPRETAZIONE (IL)
- ROSSA N.E. UMANESIMO E RINASCIMENTO (DAL 1380 AL  1545)";"secondo";"PALUMBO";21.2
85;"CHIMICA";9788880426042;"POST BARACCHI ANDREINA TAGLIABUE ALMA";"ELEMENTI DI CHIMICA VOLUME UNICO + ATTIVITA' SPERIMENTALI ONLINE";"unico";"LATTES";31.8
86;"EDUCAZIONE FISICA";9788881048472;"DEL NISTA PIER LUIGI PARKER JUNE TASSELLI ANDREA";"IN PERFETTO EQUILIBRIO PENSIERO E AZIONE PER UN CORPO INTELLIGENTE";"unico";"D'ANNA";20.5
87;"GRECO";9788881049615;"FLORIDI LUCIA";"PRAKT�ON 500 VERSIONI GRECHE PER IL TRIENNIO";"unico";"D'ANNA";25.1
88;"INGLESE";9788883390685;"GALLAGHER GALUZZI";"ACTIVATING GRAMMAR DIGITAL EDITION";"unico";"PEARSON LONGMAN";27.3
89;"FILOSOFIA";9788889942420;"PISCIONE ENRICO MAGLIA ALFIO";"CRITONE (PLATONE)";"unico";"AG EDIZIONI";5
